61C,5
as we can,0.9902,90.0000,6200
as we do,0.2133,92.3233,7100
start dash,0.0212,93.4344,7900
where is it,-0.9022,94.4444,8500
how can i do,-1.2332,100.3333,10900
78D,3
as you can see,1.7222,80.0999,6000
as we can,0.9902,90.0000,7100
how are you,1.0002,91.0902,8900
67R,4
how was it,0.0001,90.0000,6700
as we do,0.2133,92.3233,8900
how are you,1.0002,91.0902,10000
how can it be,0.2332,100.3333,15900
61C,5
as we can,0.9902,90.0000,7500
as we do,0.2133,92.3233,8000
start dash,0.0212,93.4344,9200
where is it,-0.9022,94.4444,9800
how can i do,-1.2332,100.3333,12200
